"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J303,J301";"PinSocket_2x04_P1.27mm_Vertical";2;"Conn_02x04_Odd_Even";;;
2;"U1";"Bosch_LGA-14_3x2.5mm_P0.5mm";1;"LSM6DS3";;;
3;"C38,C39,C1,C40,C2,C3,C37,C25,C21,C20,C47,C50,C59,C43,C55,C42,C35,C63,C54,C62,C69,C56,C49,C44,C45,C36,C41,C60,C52";"C_0402_1005Metric";29;"100n";;;
4;"C66,C64";"C_0402_1005Metric";2;"CL1";;;
5;"C16,C17,C19,C18,C76,C53,C58,C75";"C_0603_1608Metric";8;"2.2u";;;
6;"R84,R85";"R_0402_1005Metric";2;"4k7";;;
7;"R113,R114,R116,R115";"R_0402_1005Metric";4;"24";;;
8;"J104,J105,J100,J101";"PinHeader_2x01_P2.54mm_Horizontal";4;"Conn_01x02";;;
9;"U6,U22,U8";"SOT-23-5";3;"LP5907";;;
10;"Y2";"Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm_HandSoldering";1;"16MHz";;;
11;"C67,C65";"C_0402_1005Metric";2;"CL2";;;
12;"C68,C70";"C_0603_1608Metric";2;"10u";;;
13;"J103,J99";"USB_Micro-B_Molex-105017-0001";2;"USB_B_Micro";;;
14;"SW1,SW2";"SW_SPST_B3U-1000P-B";2;"SW_Push";;;
15;"Y1";"Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering";1;"32768Hz";;;
16;"U7";"Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering";1;"FXO-SM7_OSC-SMD7050_short";;;
17;"R117";"R_0402_1005Metric";1;"R_EXT";;;
18;"J2,J1";"PinHeader_2x02_P2.54mm_Horizontal";2;"Conn_02x02_Odd_Even";;;
19;"U16";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"ADUM1402BRWZ";;;
20;"J81,J84";"PinHeader_2x03_P2.54mm_Horizontal";2;"Conn_02x03_Odd_Even";;;
21;"C81,C5,C90,C8,C102,C78,C93,C23,C84,C28,C11,C99,C33,C87,C14,C96";"C_0402_1005Metric";16;"220nF";;;
22;"C79,C82,C91,C92,C94,C101,C22,C6,C9,C103,C89,C24,C4,C77,C7,C80,C61,C46,C57,C48,C95,C83,C15,C12,C97,C85,C13,C88,C32,C29,C27,C10,C98,C86,C100,C34";"C_0402_1005Metric";36;"1u";;;
23;"U113,U109,U114,U105,U102,U106,U110,U101,U103,U107,U112,U116,U108,U111,U104,U115";"QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias";16;"ADS131M08IRSN";;;
24;"J207,J203,J201,J205,J208,J204,J202,J206";"PinHeader_2x20_P1.27mm_Vertical_SMD";8;"Conn_02x20_Odd_Even";;;
25;"J302";"PinHeader_2x04_P1.27mm_Vertical";1;"Conn_02x04_Odd_Even";;;
26;"REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";6;"MountingHole_3.2mm_M3";;;
27;"R112,R110,R109";"R_0402_1005Metric";3;"0";;;
28;"U2";"SOT-23-5_HandSoldering";1;"REF2025";;;
29;"U19";"SOT-23-6_Handsoldering";1;"SN6505B";;;
30;"C51";"C_0603_1608Metric";1;"4.7u";;;
31;"U18";"LQFP-144_20x20mm_P0.5mm";1;"STM32H743ZITx";;;
32;"U17";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"ADuM3160";;;
33;"D2,D1";"D_SOD-123";2;"D_Schottky";;;
34;"U15";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"ISO7341c";;;
35;"U21";"473521001";1;"473521001";;;
36;"T1";"750315371";1;"750315371";;;
